OriginalReflexAgent,1,capsuleClassic,-295.14,0.00E-06
ReflexAgent,1,capsuleClassic,-228.29,95.24E-06
MinimaxAgent,2,capsuleClassic,721.29,5463.74E-06
MinimaxAgent,3,capsuleClassic,933.29,18338.32E-06
MinimaxAgent,4,capsuleClassic,393.57,111282.66E-06
AlphaBetaAgent,2,capsuleClassic,733.00,4052.89E-06
AlphaBetaAgent,3,capsuleClassic,597.29,11601.03E-06
AlphaBetaAgent,4,capsuleClassic,447.29,30494.86E-06
RandomExpectimaxAgent,2,capsuleClassic,612.00,5927.76E-06
RandomExpectimaxAgent,3,capsuleClassic,384.57,16582.56E-06
RandomExpectimaxAgent,4,capsuleClassic,871.14,69610.01E-06

OriginalReflexAgent,1,contestClassic,-97.71,42.94E-06
ReflexAgent,1,contestClassic,1106.57,123.65E-06
MinimaxAgent,2,contestClassic,1760.71,12134.40E-06
MinimaxAgent,3,contestClassic,2240.43,66397.74E-06
MinimaxAgent,4,contestClassic,1633.57,315422.10E-06
AlphaBetaAgent,2,contestClassic,1685.71,6137.94E-06
AlphaBetaAgent,3,contestClassic,1776.29,18623.88E-06
AlphaBetaAgent,4,contestClassic,1944.00,54969.58E-06
RandomExpectimaxAgent,2,contestClassic,1825.71,14739.56E-06
RandomExpectimaxAgent,3,contestClassic,2050.14,56575.90E-06
RandomExpectimaxAgent,4,contestClassic,2059.71,300640.92E-06

OriginalReflexAgent,1,mediumClassic,186.43,128.32E-06
ReflexAgent,1,mediumClassic,699.71,289.78E-06
MinimaxAgent,2,mediumClassic,1593.29,14662.91E-06
MinimaxAgent,3,mediumClassic,1893.00,77541.01E-06
MinimaxAgent,4,mediumClassic,1500.14,506343.19E-06
AlphaBetaAgent,2,mediumClassic,1311.43,6587.75E-06
AlphaBetaAgent,3,mediumClassic,1618.29,20449.50E-06
AlphaBetaAgent,4,mediumClassic,1636.00,58452.94E-06
RandomExpectimaxAgent,2,mediumClassic,1911.14,16750.42E-06
RandomExpectimaxAgent,3,mediumClassic,2088.57,71406.26E-06
RandomExpectimaxAgent,4,mediumClassic,1811.57,408309.10E-06

OriginalReflexAgent,1,minimaxClassic,370.43,0.00E-06
ReflexAgent,1,minimaxClassic,225.14,223.17E-06
MinimaxAgent,2,minimaxClassic,221.71,2592.66E-06
MinimaxAgent,3,minimaxClassic,365.71,7583.15E-06
MinimaxAgent,4,minimaxClassic,368.00,21029.65E-06
AlphaBetaAgent,2,minimaxClassic,367.86,1701.91E-06
AlphaBetaAgent,3,minimaxClassic,513.14,4542.07E-06
AlphaBetaAgent,4,minimaxClassic,-63.14,6349.49E-06
RandomExpectimaxAgent,2,minimaxClassic,507.00,3232.91E-06
RandomExpectimaxAgent,3,minimaxClassic,514.29,8506.35E-06
RandomExpectimaxAgent,4,minimaxClassic,226.86,17064.43E-06

OriginalReflexAgent,1,openClassic,531.57,110.84E-06
ReflexAgent,1,openClassic,1215.71,356.97E-06
MinimaxAgent,2,openClassic,1230.71,107844.67E-06
MinimaxAgent,3,openClassic,1249.71,1024439.31E-06
MinimaxAgent,4,openClassic,1233.14,12495295.69E-06
AlphaBetaAgent,2,openClassic,1236.14,29545.09E-06
AlphaBetaAgent,3,openClassic,1256.00,149332.09E-06
AlphaBetaAgent,4,openClassic,1231.14,748962.33E-06
RandomExpectimaxAgent,2,openClassic,1234.43,110551.39E-06
RandomExpectimaxAgent,3,openClassic,1253.57,1123351.86E-06
RandomExpectimaxAgent,4,openClassic,1315.14,11701953.44E-06

OriginalReflexAgent,1,originalClassic,497.29,107.07E-06
ReflexAgent,1,originalClassic,1094.29,462.69E-06
MinimaxAgent,2,originalClassic,2624.14,10212.40E-06
MinimaxAgent,3,originalClassic,2653.57,37824.96E-06
MinimaxAgent,4,originalClassic,2660.43,161171.99E-06
AlphaBetaAgent,2,originalClassic,2385.29,6994.40E-06
AlphaBetaAgent,3,originalClassic,2802.14,20497.67E-06
AlphaBetaAgent,4,originalClassic,2820.43,57315.47E-06
RandomExpectimaxAgent,2,originalClassic,2635.86,10915.50E-06
RandomExpectimaxAgent,3,originalClassic,2493.43,42996.69E-06
RandomExpectimaxAgent,4,originalClassic,2259.71,164537.62E-06

OriginalReflexAgent,1,smallClassic,16.86,94.52E-06
ReflexAgent,1,smallClassic,-48.43,198.42E-06
MinimaxAgent,2,smallClassic,1302.71,22254.16E-06
MinimaxAgent,3,smallClassic,1379.14,140396.31E-06
MinimaxAgent,4,smallClassic,822.00,717426.08E-06
AlphaBetaAgent,2,smallClassic,1011.57,9755.47E-06
AlphaBetaAgent,3,smallClassic,1390.86,31174.27E-06
AlphaBetaAgent,4,smallClassic,980.29,103653.66E-06
RandomExpectimaxAgent,2,smallClassic,1419.71,20060.17E-06
RandomExpectimaxAgent,3,smallClassic,1031.00,129744.07E-06
RandomExpectimaxAgent,4,smallClassic,1204.86,782755.95E-06

OriginalReflexAgent,1,testClassic,518.29,54.62E-06
ReflexAgent,1,testClassic,560.57,133.39E-06
MinimaxAgent,2,testClassic,562.86,14739.57E-06
MinimaxAgent,3,testClassic,563.43,104834.03E-06
MinimaxAgent,4,testClassic,562.57,775289.51E-06
AlphaBetaAgent,2,testClassic,563.43,5686.18E-06
AlphaBetaAgent,3,testClassic,561.14,21419.98E-06
AlphaBetaAgent,4,testClassic,562.86,68195.40E-06
RandomExpectimaxAgent,2,testClassic,560.57,17714.65E-06
RandomExpectimaxAgent,3,testClassic,563.71,118316.64E-06
RandomExpectimaxAgent,4,testClassic,559.71,708047.06E-06

OriginalReflexAgent,1,trappedClassic,-501.86,0.00E-06
ReflexAgent,1,trappedClassic,-501.71,142.47E-06
MinimaxAgent,2,trappedClassic,-501.00,997.34E-06
MinimaxAgent,3,trappedClassic,-501.00,854.87E-06
MinimaxAgent,4,trappedClassic,-501.00,997.37E-06
AlphaBetaAgent,2,trappedClassic,-501.00,427.42E-06
AlphaBetaAgent,3,trappedClassic,-501.00,285.01E-06
AlphaBetaAgent,4,trappedClassic,-501.00,427.42E-06
RandomExpectimaxAgent,2,trappedClassic,-206.57,356.16E-06
RandomExpectimaxAgent,3,trappedClassic,236.57,498.67E-06
RandomExpectimaxAgent,4,trappedClassic,-206.57,641.15E-06

OriginalReflexAgent,1,trickyClassic,39.14,104.35E-06
ReflexAgent,1,trickyClassic,447.00,294.63E-06
MinimaxAgent,2,trickyClassic,1883.71,48994.50E-06
MinimaxAgent,3,trickyClassic,1869.57,614366.79E-06
MinimaxAgent,4,trickyClassic,1934.86,6225118.34E-06
AlphaBetaAgent,2,trickyClassic,1849.00,16264.64E-06
AlphaBetaAgent,3,trickyClassic,2242.00,95778.33E-06
AlphaBetaAgent,4,trickyClassic,1769.43,431226.74E-06
RandomExpectimaxAgent,2,trickyClassic,2093.00,56273.25E-06
RandomExpectimaxAgent,3,trickyClassic,2084.57,510278.62E-06
RandomExpectimaxAgent,4,trickyClassic,2078.57,7039954.06E-06

